x,k
-5.0,0.22313016014842954
-4.979959919839679,0.21526237003685117
-4.959919839679359,0.20786812386579376
-4.939879759519038,0.2009297997958279
-4.919839679358717,0.19443007877526172
-4.8997995991983965,0.188352050357775
-4.8797595190380765,0.1826793032718283
-4.859719438877756,0.17739600210193843
-4.839679358717435,0.17248695143531179
-4.819639278557114,0.16793764879956039
-4.799599198396794,0.16373432767254864
-4.779559118236473,0.15986399178761723
-4.759519038076152,0.15631444188984484
-4.739478957915832,0.15307429602456465
-4.719438877755511,0.15013300436050764
-4.69939879759519,0.14748085946876893
-4.679358717434869,0.14510900289693796
-4.659318637274549,0.14300942879652143
-4.6392785571142285,0.1411749852822014
-4.619238476953908,0.13959937412421
-4.599198396793588,0.13827714930060422
-4.579158316633267,0.13720371486473246
-4.559118236472946,0.13637532251472334
-4.539078156312625,0.1357890691862742
-4.519038076152305,0.13544289492714512
-4.498997995991984,0.13533558125118728
-4.478957915831663,0.13546675011103818
-4.458917835671342,0.13583686357129024
-4.438877755511022,0.13644722420743652
-4.4188376753507015,0.1372999761996611
-4.398797595190381,0.13839810703398092
-4.37875751503006,0.13974544966580846
-4.35871743486974,0.14134668494213815
-4.338677354709419,0.14320734401777904
-4.318637274549098,0.1453338104379192
-4.298597194388778,0.14773332149348467
-4.278557114228457,0.15041396838698975
-4.258517034068136,0.1533846946747724
-4.238476953907815,0.15665529237673195
-4.218436873747495,0.16023639506716217
-4.198396793587174,0.1641394671804867
-4.1783567134268536,0.16837678868438036
-4.158316633266534,0.1729614341909123
-4.138276553106213,0.17790724549531214
-4.118236472945892,0.1832287964534663
-4.098196392785571,0.1889413490353704
-4.078156312625251,0.19506079932502193
-4.05811623246493,0.20160361218058434
-4.038076152304609,0.20858674322549178
-4.018036072144288,0.21602754681532824
-3.9979959919839683,0.2239436686210476
-3.9779559118236474,0.23235292149108844
-3.9579158316633265,0.24127314330805535
-3.937875751503006,0.2507220356451187
-3.9178356713426856,0.2607169821583502
