x,y,identity_sigma,uneven_sigma
-3.0,-3.0,1.9641280346397457e-05,0.0004555358998619423
-2.877551020408163,-3.0,2.814820407161733e-05,0.0005761549597716047
-2.7551020408163267,-3.0,3.9739269854790356e-05,0.0007142886168004373
-2.63265306122449,-3.0,5.526846104609603e-05,0.0008680123040332072
-2.510204081632653,-3.0,7.572218830109326e-05,0.0010339410102741633
-2.387755102040816,-3.0,0.00010220149214360127,0.001207211516172545
-2.2653061224489797,-3.0,0.00013588753258886934,0.0013816203007943307
-2.142857142857143,-3.0,0.00017798782057373114,0.0015499288779999068
-2.020408163265306,-3.0,0.0002296620587072677,0.0017043255793844684
-1.8979591836734695,-3.0,0.00029192851484134073,0.0018370081464743851
-1.7755102040816326,-3.0,0.0003655544525784065,0.0019408292569180895
-1.653061224489796,-3.0,0.0004509370655809499,0.002009931730369386
-1.5306122448979593,-3.0,0.0005479842630311023,0.0020402952119098084
-1.4081632653061225,-3.0,0.0006560070925345591,0.002030123424745211
-1.2857142857142858,-3.0,0.0007736370835370395,0.0019800201153068507
-1.163265306122449,-3.0,0.0008987819028708672,0.001892929721529696
-1.0408163265306123,-3.0,0.0010286311109174878,0.001773850873640925
-0.9183673469387754,-3.0,0.0011597203756795896,0.0016293614996331534
-0.795918367346939,-3.0,0.001288057396040679,0.001467018268192719
-0.6734693877551021,-3.0,0.0014093064507132433,0.0012947064805044922
-0.5510204081632653,-3.0,0.0015190216365667253,0.0011200176061761762
-0.4285714285714288,-3.0,0.0016129123821806899,0.0009497211406360569
-0.30612244897959195,-3.0,0.0016871196667378012,0.0007893781286590735
-0.18367346938775508,-3.0,0.0017384783878473635,0.0006431196820621308
-0.06122448979591866,-3.0,0.0017647410989833892,0.0005135896234484099
0.06122448979591821,-3.0,0.0017647410989833892,0.0004020299504383706
0.18367346938775508,-3.0,0.0017384783878473635,0.00030847381463035777
0.30612244897959195,-3.0,0.0016871196667378012,0.00023200424308119
0.4285714285714284,-3.0,0.0016129123821806914,0.00017103747611293827
0.5510204081632653,-3.0,0.0015190216365667253,0.00012359598384258197
